STRAIN	NCBI REFSEQ ID
Bradyrhizobium centrosematis SEMIA 431 [RHIZ|PSYMB]	not_announced
Bradyrhizobium forestalis INPA54B [RHIZ|PSYMB]	GCF_002795245.1
Bradyrhizobium icense LMTR 13 [RHIZ|PSYMB]	GCF_001693385.1
Bradyrhizobium japonicum UBMA197 [RHIZ|PSYMB]	GCF_002108935.1
Bradyrhizobium liaoningense CCNWSX0360 -JQ [RHIZ|PSYMB]	GCF_001595995.1
Bradyrhizobium macuxiense BR 10303 [RHIZ|PSYMB]	GCF_001542415.1
Bradyrhizobium neotropicale BR 10247 [RHIZ|PSYMB]	GCF_001641695.1
Bradyrhizobium ottawaense L2 [RHIZ|PSYMB]	GCF_002532025.1
Bradyrhizobium ottawaense OO99 [RHIZ|PSYMB]	GCF_002278135.2
Bradyrhizobium paxllaeri LMTR 21 [RHIZ|PSYMB]	GCF_001693515.2
Bradyrhizobium shewense ERR11 [RHIZ|PSYMB]	GCF_900094605.1
Bradyrhizobium sp. 1(2017) 63S1MB [RHIZ|PSYMB]	GCF_011602485.1
Bradyrhizobium sp. Ai1a-2 [RHIZ|PSYMB]	GCF_000426245.1
Bradyrhizobium sp. C9 [RHIZ|PSYMB]	GCF_002532045.1
Bradyrhizobium sp. CIR1 [RHIZ|PSYMB]	GCF_014198245.1
Bradyrhizobium sp. CIR18 [RHIZ|PSYMB]	GCF_014198295.1
Bradyrhizobium sp. CIR3A [RHIZ|PSYMB]	GCF_014197905.1
Bradyrhizobium sp. CIR48 [RHIZ|PSYMB]	GCF_014198315.1
Bradyrhizobium sp. ERR14 [RHIZ|PSYMB]	GCF_014198235.1
Bradyrhizobium sp. IAR9 [RHIZ|PSYMB]	GCF_013408065.1
Bradyrhizobium sp. Leo170 [RHIZ|PSYMB]	GCF_004296405.1
Bradyrhizobium sp. LMTR 3 [RHIZ|PSYMB]	GCF_001693485.1
Bradyrhizobium sp. LVM 105 [RHIZ|PSYMB]	GCF_003957705.1
Bradyrhizobium sp. NAS80.1 [RHIZ|PSYMB]	GCF_001908205.1
Bradyrhizobium sp. NAS96.2 [RHIZ|PSYMB]	GCF_001908235.1
Bradyrhizobium sp. RP6 [RHIZ|PSYMB]	GCF_003837805.1
Bradyrhizobium sp. S23321 [RHIZ|PSYMB]	GCF_000284275.1
Bradyrhizobium sp. SBR1B [RHIZ|PSYMB]	GCF_014198205.1
Bradyrhizobium sp. Th.b2 [RHIZ|PSYMB]	GCF_000426785.1
Bradyrhizobium sp. WSM1253 [RHIZ|PSYMB]	GCF_000244935.1
Bradyrhizobium sp. WSM1417 [RHIZ|PSYMB]	GCF_000515415.1
Bradyrhizobium sp. WSM1743 [RHIZ|PSYMB]	GCF_000473065.1
Bradyrhizobium sp. WSM4349 [RHIZ|PSYMB]	GCF_000373125.1
Bradyrhizobium sp. Y36 [RHIZ|PSYMB]	GCF_002531575.1
Bradyrhizobium symbiodeficiens 85S1MB [RHIZ|PSYMB]	GCF_002266465.2
Tardiphaga sp. P9-11 [RHIZ]	GCF_008329525.1
Brucella suis 92/29 [RHIZ]	GCF_000366205.1
Ochrobactrum pituitosum AA2 [RHIZ]	GCF_002025625.1
Asticcacaulis sp. CF398 [RHIZ]	GCF_003053985.1
Brevundimonas sp. Root1279 [RHIZ]	GCF_001425945.1
Brevundimonas sp. Root1423 [RHIZ]	GCF_001426805.1
Brevundimonas sp. Root608 [RHIZ]	GCF_001427825.1
Caulobacter henricii 536 [RHIZ]	GCF_007828975.1
Caulobacter henricii OK261 [RHIZ]	GCF_000744465.1
Caulobacter henricii CF287 [RHIZ]	GCF_000745545.1
Caulobacter henricii YR570 [RHIZ]	GCF_000745595.1
Caulobacter radicis 736 [RHIZ]	GCF_003094595.1
Caulobacter sp. 774 [RHIZ]	GCF_003116815.1
Caulobacter sp. OV484 [RHIZ]	GCF_000799245.1
Caulobacter sp. Root1455 [RHIZ]	GCF_001426905.1
Caulobacter sp. Root1472 [RHIZ]	GCF_001426985.1
Caulobacter sp. Root342 [RHIZ]	GCF_001425725.1
Caulobacter sp. Root343 [RHIZ]	GCF_001425745.1
Caulobacter sp. Root487D2Y [RHIZ]	GCF_001427165.1
Caulobacter sp. Root655 [RHIZ]	GCF_001427665.1
Caulobacter sp. Root656 [RHIZ]	GCA_001427685.1
Brevundimonas sp. CL04Tsu [RHIZ]	not_announced
Caulobacter zeae 410 [RHIZ]	GCF_002858925.1
Phenylobacterium sp. Root1277 [RHIZ]	GCF_001425915.1
Phenylobacterium sp. Root1290 [RHIZ]	GCF_001425305.1
Phenylobacterium sp. Root700 [RHIZ]	GCF_001429025.1
Phenylobacterium sp. Root77 [RHIZ]	GCF_001428705.1
Altererythrobacter sp. Root672 [RHIZ]	GCF_001427865.1
Porphyrobacter sp. EGI 63111 [RHIZ]	GCF_003660445.1
Novosphingobium barchaimii 1192 [RHIZ]	GCF_007993975.1
Inquilinus ginsengisoli 584 [RHIZ]	not_announced
Devosia sp. Root105 [RHIZ]	GCF_001424865.1
Devosia sp. Root413D1 [RHIZ]	GCF_001425235.1
Devosia sp. Root436 [RHIZ]	GCF_001426345.1
Devosia sp. Root635 [RHIZ]	GCF_001427605.1
Devosia sp. Root685 [RHIZ]	GCF_001427875.1
Ochrobactrum sp. 370MFChir3.1 [RHIZ]	not_announced
Methylobacterium sp. GV094 [RHIZ]	GCF_003217615.1
Methylobacterium sp. GV104 [RHIZ]	GCF_003053915.1
Methylobacterium sp. UNCCL126 [RHIZ]	not_announced
Methylobacterium sp. UNCCL136 [RHIZ]	not_announced
Methylobacterium sp. UNCCL143 [RHIZ]	not_announced
Methylobacterium sp. UNCCL125 [RHIZ]	GCF_900116795.1
Methylobacterium sp. WSM2598 [RHIZ|PSYMB]	GCF_000379105.1
Methylobacterium thiocyanatum DSM 11490 [RHIZ]	GCA_014138645.1
Microvirga brassicacearum CDVBN77 [RHIZ]	GCF_008757455.1
Microvirga calopogonii CCBAU 65841 [RHIZ]	GCF_003347665.1
Microvirga lotononidis WSM3557 [RHIZ|PPATH]	GCF_000262405.1
Microvirga lupini Lut6 [RHIZ]	GCA_000517005.1
Microvirga sp. KLBC 81 [RHIZ|PSYMB]	GCF_003075415.1
Microvirga vignae BR3299 [RHIZ|PSYMB]	GCF_001017175.1
Pleomorphomonas oryzae DSM 16300 [RHIZ]	GCF_000422965.1
Pleomorphomonas sp. CF100 [RHIZ]	GCF_004366315.1
Methylobacterium sp. CL129 [RHIZ]	not_announced
Rhizomicrobium palustre DSM 19867 [RHIZ]	GCF_011761565.1
Aminobacter sp. AP02 [RHIZ]	GCF_003148805.1
Aminobacter sp. Root100 [RHIZ]	GCF_001424795.1
Mesorhizobium albiziae DSM 21822 [RHIZ|PSYMB]	GCF_900114255.1
Mesorhizobium alhagi CCNWXJ12-2 [RHIZ|PSYMB]	GCF_000236565.1
Mesorhizobium australicum WSM2073 [RHIZ|PSYMB]	GCF_000230995.2
Mesorhizobium ciceri ca181 [RHIZ]	GCF_000474725.1
Mesorhizobium ciceri biserrulae WSM1284 [RHIZ|PSYMB]	GCF_001618845.1
Mesorhizobium loti R7A [RHIZ|PSYMB]	GCF_000504265.1
Mesorhizobium kowhaii Ach-343 [RHIZ|PSYMB]	GCF_003253745.1
Mesorhizobium loti R88b [RHIZ|PSYMB]	GCF_000517145.1
Mesorhizobium metallidurans STM 2683 [RHIZ|PSYMB]	GCF_000350085.1
Mesorhizobium loti NZP2037 [RHIZ|PSYMB]	GCF_000384055.1
Mesorhizobium loti DSM 2626 [RHIZ|PSYMB]	GCF_003148495.1
Mesorhizobium opportunistum WSM2075 [RHIZ|PSYMB]	GCF_000176035.2
Mesorhizobium sanjuanii BSA136 [RHIZ|PSYMB]	GCF_002529485.1
Mesorhizobium sophorae ICMP 19535 [RHIZ|PSYMB]	GCF_002270415.1
Mesorhizobium sp. AA22 [RHIZ|PSYMB]	GCF_001672375.2
Mesorhizobium sp. M00.F.Ca.ET.151.01.1.1 [RHIZ|PSYMB]	GCA_004010475.2
Mesorhizobium sp. M00.F.Ca.ET.216.01.1.1 [RHIZ|PSYMB]	GCF_004010325.2
Mesorhizobium sp. M1A.F.Ca.IN.020.06.1.1 [RHIZ|PSYMB]	GCF_004023265.1
Mesorhizobium sp. M1A.F.Ca.IN.022.04.1.1 [RHIZ|PSYMB]	GCF_003997565.1
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1 [RHIZ|PSYMB]	GCF_003952465.1
Mesorhizobium sp. M1C.F.Ca.ET.144.01.1.1 [RHIZ|PSYMB]	GCF_004791725.1
Mesorhizobium sp. M1C.F.Ca.ET.192.01.1.1 [RHIZ|PSYMB]	GCF_004022625.2
Mesorhizobium sp. M1C.F.Ca.ET.193.01.1.1 [RHIZ|PSYMB]	GCF_004791105.1
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1 [RHIZ|PSYMB]	GCF_003952385.1
Mesorhizobium sp. M1D.F.Ca.ET.234.01.1.1 [RHIZ|PSYMB]	GCF_004790975.1
Mesorhizobium sp. M1E.F.Ca.ET.041.01.1.1 [RHIZ|PSYMB]	GCF_003997355.1
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1 [RHIZ|PSYMB]	GCF_003952485.1
Mesorhizobium sp. M1E.F.Ca.ET.063.01.1.1 [RHIZ|PSYMB]	GCF_003998155.1
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1 [RHIZ|PSYMB]	GCF_003952405.1
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1 [RHIZ|PSYMB]	GCF_003952445.1
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1 [RHIZ|PSYMB]	GCF_003952425.1
Mesorhizobium sp. M2D.F.Ca.ET.147.01.1.1 [RHIZ|PSYMB]	GCF_004792235.1
Mesorhizobium sp. M2D.F.Ca.ET.224.01.1.1 [RHIZ|PSYMB]	GCF_004791515.1
Mesorhizobium sp. M2D.F.Ca.ET.225.01.1.1 [RHIZ|PSYMB]	GCF_004791235.1
Mesorhizobium sp. M2D.F.Ca.ET.226.01.1.1 [RHIZ|PSYMB]	GCF_004022705.2
Mesorhizobium sp. M2D.F.Ca.ET.233.01.1.1 [RHIZ|PSYMB]	GCF_004791305.1
Mesorhizobium sp. M2E.F.Ca.ET.166.01.1.1 [RHIZ|PSYMB]	GCF_004010465.2
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1 [RHIZ|PSYMB]	GCF_003952525.1
Mesorhizobium sp. M3A.F.Ca.ET.175.01.1.1 [RHIZ|PSYMB]	GCF_004791945.1
Mesorhizobium sp. M3A.F.Ca.ET.201.01.1.1 [RHIZ|PSYMB]	GCF_004792015.1
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1 [RHIZ|PSYMB]	GCF_003952605.1
Mesorhizobium sp. M4A.F.Ca.ET.020.02.1.1 [RHIZ|PSYMB]	GCF_004022645.1
Mesorhizobium sp. M4A.F.Ca.ET.022.05.2.1 [RHIZ|PSYMB]	GCF_003998845.1
Mesorhizobium sp. M4A.F.Ca.ET.050.02.1.1 [RHIZ|PSYMB]	GCF_003997725.1
Mesorhizobium sp. M4A.F.Ca.ET.090.04.2.1 [RHIZ|PSYMB]	GCF_003999085.1
Mesorhizobium sp. M4B.F.Ca.ET.013.02.1.1 [RHIZ|PSYMB]	GCF_004023345.1
Mesorhizobium sp. M4B.F.Ca.ET.017.02.2.1 [RHIZ|PSYMB]	GCF_003998955.1
Mesorhizobium sp. M4B.F.Ca.ET.019.03.1.1 [RHIZ|PSYMB]	GCF_003998875.1
Mesorhizobium sp. M4B.F.Ca.ET.049.02.1.2 [RHIZ|PSYMB]	GCF_003997455.1
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1 [RHIZ|PSYMB]	GCF_003952505.1
Mesorhizobium sp. M4B.F.Ca.ET.150.01.1.1 [RHIZ|PSYMB]	GCF_004791805.1
Mesorhizobium sp. M4B.F.Ca.ET.203.01.1.1 [RHIZ|PSYMB]	GCF_004791025.1
Mesorhizobium sp. M5C.F.Cr.IN.023.01.1.1 [RHIZ|PSYMB]	GCF_003997585.1
Mesorhizobium sp. M2C.T.Ca.TU.009.01.2.1 [RHIZ|PSYMB]	GCA_003997075.1
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1 [RHIZ|PSYMB]	GCF_003952585.1
Mesorhizobium sp. M2D.F.Ca.ET.160.01.1.1 [RHIZ|PSYMB]	GCA_004792215.1
Mesorhizobium sp. M6A.T.Cr.TU.017.01.1.1 [RHIZ|PSYMB]	GCF_004023115.1
Mesorhizobium sp. M7A.F.Ca.AU.002.03.1.1 [RHIZ|PSYMB]	GCF_004022715.1
Mesorhizobium sp. M7A.F.Ca.AU.002.06.1.1 [RHIZ|PSYMB]	GCF_003998795.1
Mesorhizobium sp. M7A.F.Ca.CA.001.05.1.1 [RHIZ|PSYMB]	GCF_003997515.1
Mesorhizobium sp. M7A.F.Ca.CA.001.09.1.1 [RHIZ|PSYMB]	GCF_003998465.1
Mesorhizobium sp. M7A.F.Ca.CA.001.10.2.1 [RHIZ|PSYMB]	GCF_003998575.1
Mesorhizobium sp. M7A.F.Ca.CA.001.12.2.1 [RHIZ|PSYMB]	GCF_003998425.1
Mesorhizobium sp. M7A.F.Ca.CA.001.15.1.1 [RHIZ|PSYMB]	GCF_003998735.1
Mesorhizobium sp. M7A.F.Ca.CA.001.16.1.1 [RHIZ|PSYMB]	GCF_004022815.1
Mesorhizobium sp. M7A.F.Ca.CA.002.03.2.1 [RHIZ|PSYMB]	GCF_004022835.1
Mesorhizobium sp. M7A.F.Ca.CA.002.11.2.1 [RHIZ|PSYMB]	GCF_004023045.1
Mesorhizobium sp. M7A.F.Ca.CA.002.15.1.1 [RHIZ|PSYMB]	GCF_003998145.1
Mesorhizobium sp. M7A.F.Ca.CA.004.02.1.1 [RHIZ|PSYMB]	GCF_003998385.1
Mesorhizobium sp. M7A.F.Ca.CA.004.07.1.1 [RHIZ|PSYMB]	GCF_003998755.1
Mesorhizobium sp. M7A.F.Ca.CA.004.08.1.1 [RHIZ|PSYMB]	GCF_003997845.1
Mesorhizobium sp. M7A.F.Ca.CA.004.08.2.1 [RHIZ|PSYMB]	GCF_004023025.1
Mesorhizobium sp. M7A.F.Ca.CA.004.11.2.1 [RHIZ|PSYMB]	GCF_003997955.1
Mesorhizobium sp. M4B.F.Ca.ET.088.02.2.1 [RHIZ|PSYMB]	GCA_003998815.1
Mesorhizobium sp. M7A.F.Ca.MR.176.00.0.0 [RHIZ|PSYMB]	GCF_004023165.1
Mesorhizobium sp. M7A.F.Ca.US.002.01.1.1 [RHIZ|PSYMB]	GCF_004022955.1
Mesorhizobium sp. M7A.F.Ca.US.005.03.1.1 [RHIZ|PSYMB]	GCF_003997975.1
Mesorhizobium sp. M6A.T.Ca.TU.002.02.2.1 [RHIZ|PSYMB]	GCA_003997235.1
Mesorhizobium sp. M7A.F.Ca.US.006.01.1.1 [RHIZ|PSYMB]	GCF_003997935.1
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1 [RHIZ|PSYMB]	GCF_004006095.1
Mesorhizobium sp. M7A.T.Ca.TU.009.02.1.1 [RHIZ|PSYMB]	GCF_003997125.1
Mesorhizobium sp. M7A.T.Ca.US.000.02.2.1 [RHIZ|PSYMB]	GCF_003996995.1
Mesorhizobium sp. M7D.F.Ca.US.004.01.2.1 [RHIZ|PSYMB]	GCF_003997785.1
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1 [RHIZ|PSYMB]	GCF_003952545.1
Mesorhizobium sp. M8A.F.Ca.ET.165.01.1.1 [RHIZ|PSYMB]	GCF_004792065.1
Mesorhizobium sp. M8A.F.Ca.ET.198.01.1.1 [RHIZ|PSYMB]	GCF_004791615.1
Mesorhizobium sp. M8A.F.Ca.ET.207.01.1.1 [RHIZ|PSYMB]	GCF_004794715.1
Mesorhizobium sp. M8A.F.Ca.ET.218.01.1.1 [RHIZ|PSYMB]	GCF_004791165.1
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2 [RHIZ|PSYMB]	GCF_003952365.1
Mesorhizobium sp. Primo-B [RHIZ|PSYMB]	GCF_003997165.1
Mesorhizobium sp. Root102 [RHIZ]	GCF_001425625.1
Mesorhizobium sp. Root1471 [RHIZ]	GCF_001426965.1
Mesorhizobium sp. Root157 [RHIZ]	GCF_001427385.1
Mesorhizobium sp. Root172 [RHIZ]	GCF_001428205.1
Mesorhizobium sp. Root552 [RHIZ]	GCF_001427285.1
Mesorhizobium sp. M7A.F.Ca.MR.228.00.0.0 [RHIZ|PSYMB]	GCA_003997335.1
Mesorhizobium sp. Root554 [RHIZ]	GCF_001427025.1
Mesorhizobium sp. Root695 [RHIZ]	GCF_001428185.1
Mesorhizobium sp. WSM1293 [RHIZ|PSYMB]	GCF_000513875.1
Mesorhizobium sp. WSM1497 [RHIZ|PSYMB]	GCF_001672455.2
Mesorhizobium sp. M7A.T.Ca.TU.009.01.1.1 [RHIZ|PSYMB]	GCA_003997045.1
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1 [RHIZ|PSYMB]	GCF_003952565.1
Mesorhizobium waimense ICMP19557 [RHIZ|PSYMB]	GCF_003601975.1
Mesorhizobium sp. USDA-HM6 [RHIZ|PSYMB]	GCA_003997145.1
Phyllobacterium leguminum ORS 1419 [RHIZ|PSYMB]	GCF_003217235.1
Phyllobacterium zundukense Tri-48 [RHIZ|PSYMB]	GCF_002764115.1
Phyllobacterium zundukense Tri-38 [RHIZ|PSYMB]	GCF_002763465.1
Pseudohoeflea suaedae YC6898 [RHIZ]	GCF_004354915.1
Agrobacterium deltaense CNPSo 3391 [RHIZ|PSYMB]	GCF_003931535.1
Agrobacterium rhizogenes YR147 [RHIZ]	GCF_000745725.1
Agrobacterium rhizogenes OK036 [RHIZ]	GCF_000745735.1
Agrobacterium rhizogenes YR530 [RHIZ]	GCF_000799905.1
Agrobacterium rhizogenes OV677 [RHIZ]	GCF_000799715.1
Agrobacterium rhizogenes CF263 [RHIZ]	GCF_000799685.1
Agrobacterium rhizogenes CF262 [RHIZ]	GCF_000800035.1
Phyllobacterium sp. 177MFSha [RHIZ]	not_announced
Agrobacterium sp. a22-2 [RHIZ|PSYMB]	GCF_012276985.1
Agrobacterium sp. B131/95 [PPATH]	GCF_001692155.1
Agrobacterium sp. B133/95 [PPATH]	GCF_001692215.1
Agrobacterium tumefaciens Cherry 2E-2-2 [RHIZ]	GCF_000349865.1
Agrobacterium tumefaciens 233MFSha2.1 [RHIZ]	not_announced
Agrobacterium tumefaciens 1187 [RHIZ]	GCA_006789565.1
Rhizobium radiobacter SEMIA 410 [RHIZ|PSYMB]	GCF_014197895.1
Rhizobium radiobacter SEMIA 435 [RHIZ|PSYMB]	GCF_014197995.1
Rhizobium radiobacter SEMIA 436 [RHIZ|PSYMB]	GCF_014198055.1
Rhizobium radiobacter SEMIA 437 [RHIZ|PSYMB]	GCF_014198065.1
Rhizobium radiobacter SEMIA 440 [RHIZ|PSYMB]	GCF_014198165.1
Rhizobium radiobacter SEMIA 4026 [RHIZ|PSYMB]	GCF_014198255.1
Rhizobium radiobacter SEMIA 434 [RHIZ|PSYMB]	GCF_014198395.1
Rhizobium radiobacter SEMIA 441 [RHIZ|PSYMB]	GCF_014198435.1
Rhizobium radiobacter SEMIA 457 [RHIZ|PSYMB]	GCF_014198455.1
Rhizobium radiobacter SEMIA 461 [RHIZ|PSYMB]	GCF_014198495.1
Rhizobium radiobacter SEMIA 462 [RHIZ|PSYMB]	GCF_014198505.1
Rhizobium radiobacter SEMIA 464 [RHIZ|PSYMB]	GCF_014198555.1
Rhizobium radiobacter SEMIA 472 [RHIZ|PSYMB]	GCF_014198595.1
Rhizobium radiobacter SEMIA 480 [RHIZ|PSYMB]	GCF_014198635.1
Rhizobium radiobacter SEMIA 4072 [RHIZ|PSYMB]	GCF_014200255.1
Agrobacterium tumefaciens B140/95 [PPATH]	GCF_001692245.1
Agrobacterium tumefaciens CL32Tsu [RHIZ]	not_announced
Ensifer alkalisoli YIC4027 [RHIZ|PSYMB]	GCF_001723275.1
Ensifer aridi TW10 [RHIZ|PSYMB]	GCF_000510685.1
Ensifer shofinae CCBAU 251167 [RHIZ|PSYMB]	GCA_001704765.1
Ensifer sp. 1H6 [RHIZ]	GCF_001976035.1
Ensifer sp. MPMI2T [RHIZ|PSYMB]	GCF_004827385.1
Ensifer sp. Root1252 [RHIZ]	GCF_001425885.1
Ensifer sp. Root127 [RHIZ]	GCF_001425225.1
Ensifer sp. Root1298 [RHIZ]	GCF_001426365.1
Ensifer sp. Root1312 [RHIZ]	GCF_001426465.1
Ensifer sp. Root142 [RHIZ]	GCF_001426785.1
Ensifer sp. Root231 [RHIZ]	GCF_001428785.1
Ensifer sp. Root258 [RHIZ]	GCF_001429745.1
Ensifer sp. Root278 [RHIZ]	GCF_001429285.1
Ensifer sp. Root31 [RHIZ]	GCF_001424825.1
Ensifer sp. Root423 [RHIZ]	GCF_001426275.1
Ensifer sp. Root558 [RHIZ]	GCF_001427045.1
Ensifer sp. Root74 [RHIZ]	GCF_001429125.1
Ensifer sp. Root954 [RHIZ]	GCF_001429005.1
Neorhizobium alkalisoli 1225 [RHIZ]	GCF_007829835.1
Neorhizobium galegae bv. officinalis HAMBI 1141 [RHIZ|PSYMB]	not_announced
Neorhizobium galegae bv. orientalis HAMBI 540 [RHIZ|PSYMB]	GCF_000731315.1
Rhizobium aethiopicum HBR26 [RHIZ|PSYMB]	GCF_900094625.1
Rhizobium aethiopicum SEMIA 4074 [RHIZ|PSYMB]	GCF_014197535.1
Rhizobium aethiopicum SEMIA 428 [RHIZ|PSYMB]	GCF_014194285.1
Rhizobium aethiopicum SEMIA 470 [RHIZ|PSYMB]	GCF_014198535.1
Rhizobium aethiopicum SEMIA 4029 [RHIZ|PSYMB]	GCF_014194405.1
Rhizobium alamii YR540 [RHIZ]	GCF_000744505.1
Rhizobium alamii YR584 [RHIZ]	GCF_000799895.1
Rhizobium anhuiense J3 [RHIZ|PSYMB]	GCF_002531645.1
Rhizobium anhuiense S10 [RHIZ|PSYMB]	GCF_002531655.1
Rhizobium anhuiense Y27 [RHIZ|PSYMB]	GCF_002531615.1
Rhizobium anhuiense JX3 [RHIZ|PSYMB]	GCF_002531635.1
Rhizobium anhuiense C15 [RHIZ|PSYMB]	GCF_002531695.1
Rhizobium cellulosilyticum 1193 [RHIZ]	GCF_014190685.1
Rhizobium esperanzae L15 [RHIZ|PSYMB]	GCF_014194185.1
Rhizobium cellulosilyticum SEMIA 448 [RHIZ|PSYMB]	GCF_014198105.1
Rhizobium cellulosilyticum SEMIA 444 [RHIZ|PSYMB]	GCF_014198155.1
Rhizobium cellulosilyticum SEMIA 452 [RHIZ|PSYMB]	GCF_014198445.1
Rhizobium esperanzae SEMIA 4002 [RHIZ|PSYMB]	GCF_014194355.1
Rhizobium esperanzae SEMIA 4071 [RHIZ|PSYMB]	GCF_014194165.1
Rhizobium esperanzae SEMIA 4089 [RHIZ|PSYMB]	GCF_014197615.1
Rhizobium esperanzae VC28 [RHIZ|PSYMB]	GCF_014194235.1
Rhizobium esperanzae SEMIA 414 [RHIZ|PSYMB]	GCF_014198365.1
Rhizobium esperanzae SEMIA 420 [RHIZ|PSYMB]	GCF_014198355.1
Rhizobium esperanzae SEMIA 468 [RHIZ|PSYMB]	GCF_014194325.1
Rhizobium esperanzae SEMIA 487 [RHIZ|PSYMB]	GCF_014194375.1
Rhizobium esperanzae SEMIA 4042 [RHIZ|PSYMB]	GCF_014194455.1
Rhizobium esperanzae SEMIA 4050 [RHIZ|PSYMB]	GCF_014194475.1
Rhizobium esperanzae SEMIA 4051 [RHIZ|PSYMB]	GCF_014194485.1
Rhizobium esperanzae SEMIA 4053 [RHIZ|PSYMB]	GCF_014194525.1
Rhizobium esperanzae SEMIA 4055 [RHIZ|PSYMB]	GCF_014194495.1
Rhizobium esperanzae SEMIA 4057 [RHIZ|PSYMB]	GCF_014194555.1
Rhizobium esperanzae SEMIA 4058 [RHIZ|PSYMB]	GCF_014194585.1
Rhizobium etli SEMIA 403 [RHIZ|PSYMB]	GCF_014194255.1
Rhizobium etli SEMIA 454 [RHIZ|PSYMB]	GCF_014194315.1
Rhizobium etli SEMIA 471 [RHIZ|PSYMB]	GCF_014198605.1
Rhizobium etli SEMIA 484 [RHIZ|PSYMB]	GCF_014194385.1
Rhizobium etli SEMIA 489 [RHIZ|PSYMB]	GCF_014198755.1
Rhizobium etli SEMIA 4004 [RHIZ|PSYMB]	GCF_014194425.1
Rhizobium etli SEMIA 4061 [RHIZ|PSYMB]	GCF_014194595.1
Rhizobium etli SEMIA 4062 [RHIZ|PSYMB]	GCF_014194575.1
Pararhizobium giardinii SEMIA 4084 [RHIZ|PSYMB]	GCF_014200295.1
Rhizobium grahamii CCGE 502 [RHIZ|PSYMB]	GCF_000298315.2
Rhizobium etli bv. mimosae IE4771 [RHIZ]	not_announced
Rhizobium hidalgonense FH14 [RHIZ|PSYMB]	GCF_002531855.1
Rhizobium indicum JKLM12A2 [RHIZ|PSYMB]	GCF_005862305.2
Rhizobium leguminosarum bv. trifolii WSM2297 [RHIZ]	GCF_000271845.1
Rhizobium leguminosarum bv. trifolii WSM597 [RHIZ|PSYMB]	GCF_000271785.1
Rhizobium leguminosarum bv. trifolii WSM2012 [RHIZ|PSYMB]	GCF_000271825.1
Rhizobium leguminosarum bv. viciae WSM1455 [RHIZ]	GCF_000271805.1
Rhizobium leguminosarum bv. trifolii CC278f [RHIZ]	GCF_000517045.1
Rhizobium leguminosarum bv. trifolii WSM1689 [RHIZ|PSYMB]	GCF_000517605.1
Rhizobium leguminosarum bv. trifolii TA1 [RHIZ|PSYMB]	GCF_000430465.3
Rhizobium leguminosarum bv. viciae GB30 [RHIZ|PSYMB]	GCF_000419745.1
Rhizobium leguminosarum bv. trifolii SRDI943 [RHIZ|PSYMB]	GCF_000372105.1
Rhizobium leguminosarum bv. trifolii SRDI565 [RHIZ|PSYMB]	GCF_000371905.1
Rhizobium leguminosarum OV483 [RHIZ]	GCF_000745655.1
Rhizobium leguminosarum OV152 [RHIZ]	GCF_000799985.1
Rhizobium leguminosarum CF307 [RHIZ]	GCF_000799945.1
Rhizobium leguminosarum SEMIA 415 [RHIZ|PSYMB]	GCF_014197955.1
Rhizobium leguminosarum SEMIA 416 [RHIZ|PSYMB]	GCF_014197975.1
Rhizobium leguminosarum SEMIA 421 [RHIZ|PSYMB]	GCF_014198005.1
Rhizobium leguminosarum SEMIA 430 [RHIZ|PSYMB]	GCF_014198015.1
Rhizobium leguminosarum SEMIA 445 [RHIZ|PSYMB]	GCF_014198115.1
Rhizobium leguminosarum SEMIA 449 [RHIZ|PSYMB]	GCF_014198095.1
Rhizobium leguminosarum SEMIA 498 [RHIZ|PSYMB]	GCF_014198195.1
Rhizobium leguminosarum SEMIA 4052 [RHIZ|PSYMB]	GCF_013408035.1
Rhizobium leguminosarum SEMIA 422 [RHIZ|PSYMB]	GCF_014198335.1
Rhizobium leguminosarum SEMIA 459 [RHIZ|PSYMB]	GCF_014198415.1
Rhizobium leguminosarum SEMIA 460 [RHIZ|PSYMB]	GCF_014138515.1
Rhizobium leguminosarum SEMIA 463 [RHIZ|PSYMB]	GCF_014198545.1
Rhizobium leguminosarum SEMIA 475 [RHIZ|PSYMB]	GCF_014198665.1
Rhizobium leguminosarum SEMIA 481 [RHIZ|PSYMB]	GCF_014198655.1
Rhizobium leguminosarum SEMIA 482 [RHIZ|PSYMB]	GCF_014198705.1
Rhizobium leguminosarum SEMIA 483 [RHIZ|PSYMB]	GCF_014198695.1
Rhizobium leguminosarum SEMIA 485 [RHIZ|PSYMB]	GCF_014198735.1
